feature,gain
same_building,48884.08368110657
age_diff,41632.97008140071
mou_sum,24061.118235255002
call_cnt,21255.33322537347
same_family_net,20324.349294450134
arpu,13018.918182237074
mou,11934.474775554743
age,11296.88044404317
call_days,10396.524092392297
dou,9418.930713422917
arpu_sum,8980.947433443973
age_sum,8036.701371969044
arpu_diff,7896.357689838602
mou_diff,6940.009704930708
dou_sum,5952.262803584803
dou_diff,5943.692837941926
family_flag_both1,4573.572280650958
compet_flag_xor,2129.7452006936073
same_share_grp,1289.3256031274796
compet_flag,1106.8923362791538
family_flag_xor,825.7315150499344
abnormal_flag_xor,709.5283502498642
family_flag,697.5839010793716
abnormal_flag,688.9072644310072
warn_flag,610.04494535923
warn_flag_xor,567.4440214335918
car_flag_xor,513.2412125170231
low_flag_xor,510.31430953741074
car_flag,458.5905241370201
warn_flag_both1,446.51403607428074
iptv_vip_flag_xor,225.37478929758072
band_flag_xor,207.57785898447037
band_flag,181.7547947454732
low_flag,176.70971524715424
main_abn_flag_xor,175.8981777727604
iptv_flag_xor,162.1149339079857
compet_flag_both1,152.37273794412613
band_flag_both1,116.35862517356873
iptv_flag,94.16282097622752
car_flag_both1,92.26020282506943
abnormal_flag_both1,85.08632701635361
save_flag_xor,72.17378491163254
main_abn_flag,60.63870841264725
iptv_vip_flag,57.74658942222595
call_bases,54.25916061978933
fttr_flag_xor,19.123743057250977
iptv_vip_flag_both1,6.006170034408569
save_flag,4.792454957962036
hard_flag_xor,4.050282001495361
same_pay_acct,0.0
fttr_flag,0.0
hard_flag,0.0
pet_flag,0.0
heal_flag,0.0
pet_flag_both1,0.0
pet_flag_xor,0.0
fttr_flag_both1,0.0
main_abn_flag_both1,0.0
low_flag_both1,0.0
iptv_flag_both1,0.0
hard_flag_both1,0.0
save_flag_both1,0.0
heal_flag_both1,0.0
heal_flag_xor,0.0
