feature,gain
same_building,48904.07492876053
age_diff,41802.64189385774
mou_sum,23490.01762394968
call_cnt,22129.177678917637
same_family_net,20734.484500400722
arpu,12963.003519982964
mou,12059.897531939903
age,11758.669441678096
call_days,10349.859912187676
dou,8958.103309372324
arpu_sum,8451.724925964605
arpu_diff,8102.700258033001
age_sum,7932.977004991852
mou_diff,6734.384066348313
dou_sum,6297.536171567626
dou_diff,5772.866894277511
family_flag_both1,3993.789534341544
compet_flag_xor,2434.8017365038395
same_share_grp,1368.4138289690018
compet_flag,924.3601425588131
family_flag_xor,864.8969388902187
abnormal_flag,772.0102667268366
family_flag,649.9284317363054
warn_flag_xor,635.7282283604145
abnormal_flag_xor,572.8279877053574
car_flag_xor,570.5572019219398
warn_flag,530.4715820774436
low_flag_xor,511.97506535053253
car_flag,378.37030160427094
warn_flag_both1,349.9584397152066
band_flag,279.4180396851152
compet_flag_both1,248.3589250445366
band_flag_xor,239.54421205818653
iptv_flag_xor,235.24350196123123
low_flag,205.1982592344284
iptv_vip_flag_xor,193.27655777335167
car_flag_both1,188.0333393216133
abnormal_flag_both1,123.33573278784752
iptv_vip_flag,86.99885952472687
iptv_flag,76.64382761716843
save_flag_xor,55.59917026758194
call_bases,54.2774664608296
main_abn_flag_xor,46.301090598106384
band_flag_both1,39.93360656499863
main_abn_flag,39.75080704689026
fttr_flag_xor,14.497090220451355
hard_flag_xor,4.628832101821899
hard_flag,3.0065701007843018
save_flag,2.1719601154327393
fttr_flag,1.097390055656433
pet_flag,0.0
heal_flag,0.0
same_pay_acct,0.0
pet_flag_both1,0.0
low_flag_both1,0.0
pet_flag_xor,0.0
fttr_flag_both1,0.0
main_abn_flag_both1,0.0
iptv_flag_both1,0.0
iptv_vip_flag_both1,0.0
hard_flag_both1,0.0
save_flag_both1,0.0
heal_flag_both1,0.0
heal_flag_xor,0.0
